id,name,rule,category,consumer,tag,active,priority,creation_time,modification_time
28,"规则_28","[[{""condition"":""description"",""formula"":""like"",""value"":""八方社区卫生服务站|儿童医院|丝塔芙|美皮康|卫生服务中心""}],[{""condition"":""payee"",""formula"":""like"",""value"":""八方社区卫生服务站|儿童医院|丝塔芙|美皮康|卫生服务中心""}]]","[80000,80002]","4","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
29,"规则_29","[[{""condition"":""description"",""formula"":""like"",""value"":""别克|70迈|学车|驾校|交警缴费|湖南永通华诚""}],[{""condition"":""payee"",""formula"":""like"",""value"":""别克|70迈|学车|驾校|交警缴费|湖南永通华诚""}]]","[30000,30007]","null","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
30,"规则_30","[[{""condition"":""description"",""formula"":""like"",""value"":""儿童平台|彩虹乐园|游乐园|回旋镖|长沙遛娃群联系人|季高兔窝窝""}],[{""condition"":""payee"",""formula"":""like"",""value"":""儿童平台|彩虹乐园|游乐园|回旋镖|长沙遛娃群联系人|季高兔窝窝""}]]","[70000,70003]","4","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
31,"规则_31","[[{""condition"":""description"",""formula"":""like"",""value"":""早教|打印资料|凯迪克""}],[{""condition"":""payee"",""formula"":""like"",""value"":""早教|打印资料|凯迪克""}]]","[90000,90002]","4","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
32,"规则_32","[[{""condition"":""description"",""formula"":""like"",""value"":""琴弦""}],[{""condition"":""payee"",""formula"":""like"",""value"":""琴弦""}]]","[50000,50009]","null","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
33,"规则_33","[[{""condition"":""description"",""formula"":""like"",""value"":""赛格尔洗衣|盐城市玥曼""}],[{""condition"":""payee"",""formula"":""like"",""value"":""赛格尔洗衣|盐城市玥曼""}]]","[20000,20008]","3","3",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
34,"规则_34","[[{""condition"":""description"",""formula"":""like"",""value"":""群红包""}],[{""condition"":""payee"",""formula"":""like"",""value"":""群红包""}]]","[60000,60001]","","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
35,"燃气","[[{""condition"":""description"",""formula"":""like"",""value"":""新奥""}],[{""condition"":""payee"",""formula"":""like"",""value"":""新奥""}]]","[20000,20003]","3","1",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
36,"水费","[[{""condition"":""description"",""formula"":""like"",""value"":""长沙供水有限公司""}],[{""condition"":""payee"",""formula"":""like"",""value"":""长沙供水有限公司""}]]","[20000,20001]","3","1",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
37,"规则_39","[[{""condition"":""description"",""formula"":""like"",""value"":""车用汽油|湖南石油分公司""}],[{""condition"":""payee"",""formula"":""like"",""value"":""车用汽油|湖南石油分公司""}]]","[30000,30006]","3","1",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
38,"规则_40","[[{""condition"":""description"",""formula"":""like"",""value"":""火车票|携程|单程机票|去哪儿网""}],[{""condition"":""payee"",""formula"":""like"",""value"":""火车票|携程|单程机票|去哪儿网""}]]","[110000,110001]","","2",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
39,"规则_41","[[{""condition"":""description"",""formula"":""like"",""value"":""包月|月卡|超级吃货卡""}],[{""condition"":""payee"",""formula"":""like"",""value"":""包月|月卡|超级吃货卡""}]]","[20000,20011]","3","1",1,1,"2025-06-15 05:43:47","2025-06-15 05:43:47"
